Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
04/09/1995;     51,00;          1,00163667;      17,0963719034421360;
05/09/1995;     51,00;          1,00163667;      17,1243530224453426;
06/09/1995;     51,00;          1,00163667;      17,1523799373065882;
08/09/1995;     51,00;          1,00163667;      17,1804527229785798;
11/09/1995;     51,00;          1,00163667;      17,2085714545366972;
12/09/1995;     51,00;          1,00163667;      17,2367362071791938;
13/09/1995;     51,00;          1,00163667;      17,2649470562273977;
14/09/1995;     50,75;          1,00163000;      17,2930889199290484;

15/09/1995;     51,00;          1,00163667;      17,3213919997716287;
18/09/1995;     51,00;          1,00163667;      17,3497414024158949;
19/09/1995;     51,00;          1,00163667;      17,3781372036769869;
20/09/1995;     51,00;          1,00163667;      17,4065794794941289;
21/09/1995;     51,00;          1,00163667;      17,4350683059308326;
22/09/1995;     51,00;          1,00163667;      17,4636037591751004;
25/09/1995;     51,00;          1,00163667;      17,4921859155396295;
26/09/1995;     51,00;          1,00163667;      17,5208148514620158;
27/09/1995;     51,00;          1,00163667;      17,5494906435049581;
28/09/1995;     50,62;          1,00162667;      17,5780378734500283;
29/09/1995;     50,37;          1,00162000;      17,6065142948050173;
02/10/1995;     44,19;          1,00145333;      17,6321023702250863;
03/10/1995;     44,80;          1,00147000;      17,6580215607093172;
04/10/1995;     44,55;          1,00146333;      17,6838610733997500;
05/10/1995;     44,19;          1,00145333;      17,7095615592135540;
06/10/1995;     43,59;          1,00143667;      17,7350043550188294;
09/10/1995;     43,59;          1,00143667;      17,7604837037255543;
